Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
MATCH,28386,NSCVR0001560,End Cover of NHB 45 (With EndCover&OilSeal) - d x 130,NRRBR0000132,NRRBR0000132,NORMAL,NORMAL,0,0,28,28,28,mm,mm,Round Bar EN9 140 MM,Round Bar EN9 140 MM,,PART,CUTTING SIZE - 23mm,I,B0013058,B0013058,26 mm,37988,1
MATCH,28494,NSCVR0001562,End Cover of NHBUFC 70 - d x 223 x 261.5,NRRBR0000128,NRRBR0000128,NORMAL,NORMAL,0,0,26,26,26,mm,mm,Round Bar EN9 200 MM,Round Bar EN9 200 MM,,PART,,I,B0013131,B0013131,24 mm,37990,1
MATCH,28495,NSCVR0001563,Flange Cover of NHBUFC 70 - d x 223 x 261.5,NRFRG0000634,NRFRG0000634,NORMAL,NORMAL,0,0,1,1,1,Nos.,Nos.,Casting Grade-SG 400/15-Flange Cover of NHBUFC70,Casting Grade-SG 400/15-Flange Cover of NHBUFC70,,PART,,I,B0013183,B0013183,,37994,1
MATCH,28497,NSCVR0001564,Cover of NHBUFC 70 - d x 223 x 261.5,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,134,134,134,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0013132,B0013132,132 mm,37991,1
MATCH,28902,NSCVR0001566,End Cover of NHBUFC 50 - d x 175 x 195,NRRBR0000131,NRRBR0000131,NORMAL,NORMAL,0,0,56,56,56,mm,mm,Round Bar EN9 190 MM,Round Bar EN9 190 MM,,PART,CUTTING SIZE - 24mm,I,B0013218,B0013218,54 mm,37996,1
MATCH,28905,NSCVR0001567,Cover of NHBUFC 50 - d x 175 x 195,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,22,22,22,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0013217,B0013217,20 mm,14237,1
MATCH,28939,NSCVR0001568,C2 Lever of NR 80.sp2 C2C3 - d x 210 x 154 x 176,NSMPL0000592,NSMPL0000592,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 315 X 235 X 45,MS Plate 315 X 235 X 45,,PART,,I,B0013296,B0013296,,38005,1
MATCH,18664,NSCVR0001569,C3 Cover of NR 50.sp1 C2C3 - d x 150 x 94 x 114,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,43,43,43,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0013240,B0013240,41 mm,38000,1
MATCH,28986,NSCVR0001571,Cover of NRFC 35.sp1 - d x 129 x 152,NRRBR0000132,NRRBR0000132,NORMAL,NORMAL,0,0,42,42,42,mm,mm,Round Bar EN9 140 MM,Round Bar EN9 140 MM,,PART,CUTTING SIZE - 23mm,I,B0013268,B0013268,40 mm,12761,1
MATCH,29035,NSCVR0001574,F3 Cover of NAL 50.sp F2F3 - d x 150 x 100 x 132,NRRBR0000123,NRRBR0000123,NORMAL,NORMAL,0,0,54,54,54,mm,mm,Round Bar EN9 160 MM,Round Bar EN9 160 MM,,PART,,I,B0013272,B0013272,52 mm,38002,1
MATCH,29188,NSCVR0001577,C3 Cover of NR 55 - d x 160 x 104 x 138,NRRBR0000306,NRRBR0000306,NORMAL,NORMAL,0,0,61,61,61,mm,mm,Round Bar EN9 170 mm,Round Bar EN9 170 mm,,PART,,I,B0013319,B0013319,59 mm,38006,1
MATCH,28983,NSCVR0001578,C1 Cover of NRFC 35.sp1 - d x 129 x 152,NRRBR0000132,NRRBR0000132,NORMAL,NORMAL,0,0,42,42,42,mm,mm,Round Bar EN9 140 MM,Round Bar EN9 140 MM,,PART,CUTTING SIZE - 23mm,I,B0013326,B0013326,40 mm,38007,1
MATCH,29212,NSCVR0001580,C2 Lever of NR 130.sp3 C1C2 - d x 320 x 180,NSMPL0000514,NSMPL0000514,NORMAL,NORMAL,0,0,1,1,1,Kg.,Kg.,MS Plate 678 X 453 X 65,MS Plate 678 X 453 X 65,,PART,,I,B0013356,B0013356,,38008,1
MATCH,29322,NSCVR0001583,C5 Cover of NR 60 C5C5.sp1 - d x 181 x 116,NRRBR0000131,NRRBR0000131,NORMAL,NORMAL,0,0,29,29,29,mm,mm,Round Bar EN9 190 MM,Round Bar EN9 190 MM,,PART,CUTTING SIZE - 24mm,I,B0013381,B0013381,27 mm,38010,1
