Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
RAW_MATERIAL_ITEM_MISSING,363,NAINR0000129,Inner Ring of N7030 - 28 x 55 x 41,NRRBR0000100,NRRBR0000102 / NRRBR0000100,ALTERNATE,ALTERNATE,1,1,45/46,46,46,mm,mm,RoundBar EN9 65 MM / Round Bar EN9 60 MM,,,,,I,B0000284,B0000284,44 mm,39945,1
UOM_MISMATCH,11726,NAINR0000129,Inner Ring of N7030 - 28 x 55 x 41,NRRBR0000102,NRRBR0000102 / NRRBR0000100,NORMAL,NORMAL,0,0,46,,45,mm,Kg.,RoundBar EN9 65 MM / Round Bar EN9 60 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0000284,,,22251,1
UOM_MISMATCH,363,NAINR0000129,Inner Ring of N7030 - 28 x 55 x 41,NRRBR0000102,NRRBR0000102 / NRRBR0000100,NORMAL,NORMAL,0,0,45/46,45,45,mm,Kg.,RoundBar EN9 65 MM / Round Bar EN9 60 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0000284,,,22251,1
RAW_MATERIAL_ITEM_MISSING,356,NAINR0000130,Inner Ring of N7030 - 30 x 55 x 41,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,46,46,46,mm,mm,Round Bar EN9 60 MM,,,,,I,B0000278,B0000278,44 mm,22240,1
NORMAL_ALTERNATE_FLAG_MISMATCH | UOM_MISMATCH,2268,NAINR0000132,Inner Ring of N7030 - 35 x 60 x 41,NRRBR0000102,NRRBR0000102,NORMAL,ALTERNATE,0,1,46,46,46,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0001422,B0001422,,33225,1
UOM_MISMATCH,2272,NAINR0000132,Inner Ring of N7030 - 35 x 60 x 41,NRRBR0000102,NRRBR0000105 / NRRBR0000102,ALTERNATE,ALTERNATE,1,1,45/46,46,46,mm,Kg.,Round Bar EN9 70 MM / RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0001422,B0001422,,33225,1
UOM_MISMATCH,5528,NAINR0000137,Inner Ring of N7030 - 48 x 80 x 49,NRRBR0000124,NRRBR0000124,NORMAL,NORMAL,0,0,55,55,55,mm,Kg.,Round Bar EN19 85 MM,Round Bar EN19 85 MM,,PART,,I,B0003265,B0003265,,23999,1
UOM_MISMATCH,482,NAINR0000138,Inner Ring of N7030 - 50 x 80 x 49,NRRBR0000124,NRRBR0000124,NORMAL,NORMAL,0,0,55,55,55,mm,Kg.,Round Bar EN19 85 MM,Round Bar EN19 85 MM,,PART,,I,B0000370,B0000370,,22424,1
NORMAL_ALTERNATE_FLAG_MISMATCH,3941,NAINR0000140,Inner Ring of N7030 - 60 x 90 x 49,NRRBR0000101,NRRBR0000101,NORMAL,ALTERNATE,0,1,55,55,55,mm,mm,Round Bar EN9 95 MM,Round Bar EN9 95 MM,,PART,,I,B0000332,B0000332,53 mm,23623,1
NORMAL_ALTERNATE_FLAG_MISMATCH,3666,NAINR0000141,Inner Ring of N7030 - 65 x 95 x 49,NRRBR0000108,NRRBR0000108,NORMAL,ALTERNATE,0,1,55,55,55,mm,mm,Round Bar EN9 110 MM,Round Bar EN9 110 MM,,PART,,I,B0002347,B0002347,53 mm,23546,1
